Ticker,Name,Asset Class,Underlying,Currency,Execution Costs (bps),Replication Costs (bps)
BNPIFEU,Eurozone Equity,Equity,Eurostoxx 50,EUR,3,12
BNPIFUS,US Equity,Equity,S&P 500,USD,3,12
BNPIFJP,Japan Equity,Equity,Nikkei,JPY,3,12
BNPIFCN,China Equity,Equity,HSCEI,HKD,3,12
BNPIFFR,France Equity,Equity,CAC 40,EUR,3,12
BNPIFGE,Germany Equity,Equity,Dax,EUR,3,12
BNPIFGB,Great Britain Equity,Equity,FTSE 100,GBP,3,12
BNPIFCH,Swiss Equity,Equity,SMI,CHF,3,12
BNPIFKR,Korea Equity,Equity,Kospi,KRW,3,12
BNPIFUSC,US Small Caps Equity,Equity,Russell 2000,USD,3,12
BNPIFBR,Brazil Equity,Equity,Bovespa,BRL,3,12
BNPIFAU,Australia Equity,Equity,ASX SPI 200,AUD,3,12
BNPIFHK,Honk Kong Equity,Equity,HSI,HKD,3,12
BNPIFTW,Taiwan Equity,Equity,MSCI Taiwan,TWD,3,12
BNPIFSG,Singapore Equity,Equity,MSCI Singapore,SGD,3,12
BNPIFIT,Italy Equity,Equity,FTSE MIB,EUR,3,12
BNPIFSP,Spain Equity,Equity,IBEX 35,EUR,3,12
BNPIFSW,Sweden Equity,Equity,OMX,SEK,3,12
BNPIFNE,Netherlands Equity,Equity,AEX,EUR,3,12
BNPIFRU,Russia Equity,Equity,RTS,USD,3,12
BNPIFEM,Emerging Equity,Equity,MSCI Emerging,USD,3,12
BNPIFJT,BNP Paribas Japan Tokyo Futures,Equity,TOPIX,JPY,3,12
BNPIFE10,10Y German Bonds Future,Bonds, EUR 10Y Futures ,EUR,1,5
BNPIFEU2,2Y German Bonds Future,Bonds, EUR 2Y Futures ,EUR,1,5
BNPIFEU5,5Y German Bonds Future,Bonds, EUR 5Y Futures ,EUR,1,5
BNPIFE30,EUR 30Y Futures,Bonds,EUR 30Y Futures,EUR,1,5
BNPIFJ10,10Y Japan Bonds (vwap) Future,Bonds, Japan 10 Y Futures ,JPY,1,5
BNPIFU10,10Y US Treasury Future,Bonds, USD 10Y Futures ,USD,1,5
BNPIFUS2,2Y US Treasury Future,Bonds, USD 2Y Futures ,USD,1,5
BNPIFU30,30Y US Treasury Future,Bonds, USD 30Y Futures ,USD,1,5
BNPIFUS5,5Y US Treasury Future,Bonds, USD 5Y Futures ,USD,1,5
BNPIFA10,10Y AUD Treasury Futures,Bonds,AUD 10Y Futures,AUD,1,5
BNPIFAU3,3Y AUD Treasury Futures,Bonds,AUD 3Y Futures,AUD,1,5
BNPIFI10,10Y BTP Italian Futures,Bonds,BTP Italian 10Y Futures,EUR,1,5
BNPIFF10, 10Y OAT France Futures,Bonds,France 10Y Futures,EUR,1,5
BNPIFG10,10Y GB Futures,Bonds,GB 10Y Futures,GBP,1,5
BPFXEUR1,EUR 1M FX Spot,Forex,,USD,1,10
BPFXGBP1,GBP 1M FX Spot,Forex,,USD,1,10
BPFXCHF1,CHF 1M FX Spot,Forex,,USD,1,10
BPFXJPY1,JPY 1M FX Spot,Forex,,USD,1,10
BPFXAUD1,AUD 1M FX Spot,Forex,,USD,1,10
BPFXNZD1,NZD 1M FX Spot,Forex,,USD,1,10
BPFXNOK1,NOK 1M FX Spot,Forex,,USD,1,10
BPFXSEK1,SEK 1M FX Spot,Forex,,USD,1,10
BPFXCAD1,CAD 1M FX Spot,Forex,,USD,1,10
BPFXCZK1,CZK 1M FX Spot,Forex,,USD,1,50
BPFXPLN1,PLN 1M FX Spot,Forex,,USD,1,50
BPFXHUF1,HUF 1M FX Spot,Forex,,USD,1,50
BPFXTRY1,TRY 1M FX Spot,Forex,,USD,1,50
BPFXZAR1,ZAR 1M FX Spot,Forex,,USD,1,50
BPFXSGD1,SGD 1M FX Spot,Forex,,USD,1,50
BPFXMXN1,MXN 1M FX Spot,Forex,,USD,1,50
BPFXINR1,INR 1M FX Spot,Forex,,USD,1,50
BPFXKRW1,KRW 1M FX Spot,Forex,,USD,1,50
BPFXPHP1,PHP 1M FX Spot,Forex,,USD,1,50
BPFXTWD1,TWD 1M FX Spot,Forex,,USD,1,50
BPFXBRL1,BRL 1M FX Spot,Forex,,USD,1,50
BPFXCLP1,CLP 1M FX Spot,Forex,,USD,1,50
BPFXCOP1,COP 1M FX Spot,Forex,,USD,1,50
SPGSCLP,CrudeOil,Commodity,,USD,5,20
SPGSHOP,HeatingOil,Commodity,,USD,5,20
SPGSGOP,GasOil,Commodity,,USD,5,20
SPGSBRP,BrentCrudeOil,Commodity,,USD,5,20
SPGSHUP,Unl.Gas,Commodity,,USD,5,20
SPGSNGP,NaturalGas,Commodity,,USD,5,20
SPGSIAP,Aluminium,Commodity,,USD,5,20
SPGSICP,Copper,Commodity,,USD,5,20
SPGSIZP,Zinc,Commodity,,USD,5,20
SPGSIKP,Nickel,Commodity,,USD,5,20
SPGSILP,Lead,Commodity,,USD,5,20
SPGSGCP,Gold,Commodity,,USD,5,20
SPGSSIP,Silver,Commodity,,USD,5,20
BNPXCEB5,BNP Paribas Investment Grade Europe 5Y Credit,Credit,,EUR,5,20
BNPXCEX5,BNP Paribas High Yield Europe 5Y Credit,Credit,,EUR,10,40
BNPXCIG5,BNP Paribas Investment Grade US 5Y Credit,Credit,,USD,5,20
BNPXCHY5,BNP Paribas High Yield US 5Y Credit,Credit,,USD,10,40
