Name,Full Name
HFRXAR,HFRX Absolute Return Index
HFRXDS,HFRX ED: Distressed Restructuring Index
HFRXMA,HFRX ED: Merger Arbitrage Index
HFRXSS,HFRX ED: Special Situations Index
HFRXEMN,HFRX EH: Equity Market Neutral Index
HFRXEHG,HFRX EH: Fundamental Growth Index
HFRXEHV,HFRX EH: Fundamental Value Index
HFRXEMC,HFRX Emerging Markets Composite Index
HFRXEWC,HFRX Equal Weighted Strategies CHF Index
HFRXEWE,HFRX Equal Weighted Strategies EUR Index
HFRXEWG,HFRX Equal Weighted Strategies GBP Index
HFRXEW,HFRX Equal Weighted Strategies Index
HFRXEWJ,HFRX Equal Weighted Strategies JPY Index
HFRXEHE,HFRX Equity Hedge EUR Index
HFRXEH,HFRX Equity Hedge Index
HFRXEDE,HFRX Event Driven EUR Index
HFRXED,HFRX Event Driven Index
HFRXFIC,HFRX Fixed Income - Credit Index
HFRXGLCD,HFRX Global Hedge Fund CAD Index
HFRXGLC,HFRX Global Hedge Fund CHF Index
HFRXGLE,HFRX Global Hedge Fund EUR Index
HFRXGLG,HFRX Global Hedge Fund GBP Index
HFRXGL,HFRX Global Hedge Fund Index
HFRXGLJ,HFRX Global Hedge Fund JPY Index
HFRXME,HFRX Macro/CTA EUR Index
HFRXM,HFRX Macro/CTA Index
HFRXSDV,HFRX Macro: Systematic Diversified CTA Index
HFRXMD,HFRX Market Directional Index
HFRXMLP,HFRX MLP Index
HFRXMREG,HFRX Multi-Region Index
HFRXNA,HFRX North America Index
HFRXRVAE,HFRX Relative Value Arbitrage EUR Index
HFRXRVA,HFRX Relative Value Arbitrage Index
HFRXCA,HFRX RV: FI-Convertible Arbitrage Index
HFRXRVMS,HFRX RV: Multi-Strategy Index
